//===== AI Item Buff List Configulation Files =======================================
//  Whispering Rain
//= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
// Structure of Database:
// itemid,duration,reset when dead (0/1)
// EX. 12210,1800000,0
//= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
12210,1800000,0
12208,1800000,0
12209,1800000,0
12207,1800000,0
12206,1800000,0
//14766,1800000,1
//14766,300000,1
12114,1200000,1
12115,1200000,1
12116,1200000,1
12117,1200000,1
12412,900000,0
12215,1800000,1
12216,1800000,1
645,1800000,1
656,1800000,1
657,1800000,1
22701,30000,1
14534,60000,1
14535,60000,1
12832,60000,1
23203,60000,1
23204,60000,1
12883,180000,0
23475,60000,1
12796,60000,1
12684,60000,1
14600,60000,1
14601,60000,1
